rank,feature,importance
1,etf_mom_12m,0.264089
2,ETF_XLK,0.240677
3,etf_mom_1m,0.183215
4,etf_vol_6m,0.084094
5,etf_drawdown_12m,0.043589
6,VIXCLS_change_1m,0.036049
7,DGS10_change_1m,0.028367
8,yield_spread_10y_2y,0.022250
9,spy_vol_3m,0.020000
10,ETF_XLE,0.017982
11,spy_mom_6m,0.016617
12,etf_vol_3m,0.014975
13,yield_spread_10y_2y_change_1m,0.014569
14,etf_mom_3m,0.013527
15,etf_mom_6m,0.000000
16,spy_mom_3m,0.000000
17,spy_mom_12m,0.000000
18,spy_mom_1m,0.000000
19,etf_vol_12m,0.000000
20,DFF,0.000000
